time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1596	1.38773	5.20899	0.27311	0.288856	radar	4.45781	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3852	1.46475	5.17949	0.292774	0.297526	lidar	0.967089	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6148	1.5668	5.10001	0.330142	0.341032	radar	3.73754	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8437	1.58294	5.06234	0.31025	0.286635	lidar	1.76699	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1094	1.63496	5.1033	0.304427	0.252976	radar	2.17607	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3917	1.66667	5.13482	0.286092	0.205841	lidar	2.26977	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6229	1.72723	5.08809	0.292769	0.203602	radar	0.93391	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8545	1.78471	5.06718	0.294964	0.192035	lidar	0.38784	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.109	1.8782	5.12581	0.310544	0.196293	radar	1.31412	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3555	1.8933	5.10124	0.284259	0.142945	lidar	0.891948	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6119	1.9506	5.14374	0.27882	0.119997	radar	0.96927	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8101	2.09299	5.11541	0.330921	0.188446	lidar	3.13004	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0758	2.20145	5.2078	0.345009	0.186585	radar	3.39352	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2777	2.34695	5.18285	0.391617	0.241831	lidar	2.27487	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4535	2.51216	5.08112	0.457575	0.335274	radar	10.3894	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7045	2.61685	5.10616	0.465057	0.321083	lidar	0.912209	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9228	2.73674	5.08998	0.486244	0.331236	radar	0.150812	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1514	2.88511	5.11353	0.516329	0.350258	lidar	0.383788	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4031	2.98931	5.17689	0.505975	0.294791	radar	1.69355	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6139	3.04957	5.11461	0.489682	0.251633	lidar	2.44584	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8439	3.20512	5.17638	0.513048	0.257865	radar	3.67925	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0495	3.40013	5.20398	0.563665	0.311855	lidar	0.864356	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2576	3.5754	5.19713	0.604124	0.355915	radar	2.37094	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4712	3.759	5.22615	0.638303	0.378729	lidar	0.453378	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6832	3.89391	5.21242	0.645206	0.361545	radar	1.08804	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9082	4.0275	5.21103	0.646836	0.338071	lidar	0.331761	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1008	4.19842	5.17161	0.682982	0.382279	radar	1.71571	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2986	4.38958	5.19501	0.71427	0.398946	lidar	0.247893	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5093	4.55348	5.21191	0.723455	0.37911	radar	0.708462	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6892	4.71655	5.18829	0.741347	0.378334	lidar	0.476703	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8354	4.92481	5.11508	0.807709	0.481798	radar	4.15447	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9988	5.14612	5.14091	0.849586	0.506097	lidar	0.289092	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1678	5.32143	5.11505	0.869238	0.503919	radar	1.78192	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3291	5.4948	5.08833	0.88529	0.492214	lidar	0.290765	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4838	5.66996	5.04683	0.907389	0.49901	radar	3.26064	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6835	5.78092	4.98179	0.882946	0.433158	lidar	2.37976	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.823	5.98513	4.95694	0.924073	0.477706	radar	0.866197	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0001	6.16718	4.95997	0.93101	0.454107	lidar	0.877358	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1487	6.37756	4.97779	0.954735	0.452544	radar	0.654191	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2693	6.6123	5.00007	0.995367	0.476712	lidar	0.345255	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3994	6.82997	5.00255	1.02464	0.487519	radar	0.17159	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5527	6.95842	4.91066	1.01053	0.437937	lidar	2.50274	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7041	7.16275	4.93864	1.01224	0.393201	radar	0.727538	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.29148	4.88146	0.976956	0.320228	lidar	4.17291	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9923	7.50025	4.82089	1.0301	0.399343	radar	4.10027	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0806	7.76361	4.87307	1.08068	0.440031	lidar	1.04982	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2026	7.97007	4.87294	1.09199	0.41906	radar	0.334147	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2813	8.18526	4.85301	1.12458	0.435188	lidar	1.34329	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3818	8.39491	4.85238	1.13549	0.406061	radar	2.30415	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4799	8.5398	4.7489	1.13522	0.38146	lidar	3.978	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5699	8.74978	4.72762	1.16132	0.400744	radar	0.5797	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.737	8.91789	4.69538	1.13715	0.34291	lidar	4.15491	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8074	9.14204	4.67809	1.17923	0.395967	radar	1.05569	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9396	9.36467	4.70603	1.18141	0.371893	lidar	2.97223	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9797	9.59231	4.67037	1.24069	0.458256	radar	2.58718	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0664	9.8307	4.69944	1.26179	0.455147	lidar	0.753129	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1276	10.0791	4.74225	1.2848	0.439624	radar	7.19637	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1732	10.3516	4.79959	1.32466	0.461339	lidar	0.850183	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1852	10.5923	4.78181	1.38222	0.530631	radar	2.59717	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2425	10.8629	4.83711	1.40853	0.528367	lidar	2.03196	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2727	11.1194	4.86889	1.43289	0.511103	radar	4.92545	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3066	11.3565	4.86358	1.45615	0.508426	lidar	0.010374	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2456	11.6109	4.84459	1.55046	0.649936	radar	9.56193	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3182	11.8474	4.84232	1.551	0.609845	lidar	5.21118	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3499	12.0804	4.84883	1.53894	0.504026	radar	4.22764	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3363	12.3655	4.91305	1.57586	0.515452	lidar	1.02707	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2831	12.606	4.8921	1.64425	0.610899	radar	2.71688	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.309	12.8432	4.87921	1.65405	0.585884	lidar	2.08304	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2974	13.0756	4.86221	1.67799	0.58092	radar	2.12234	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2617	13.2878	4.81989	1.70855	0.58471	lidar	1.00207	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2243	13.5235	4.82071	1.72951	0.557869	radar	1.35295	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2049	13.7806	4.84559	1.74836	0.545697	lidar	1.37854	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1485	14.0088	4.83123	1.78674	0.573089	radar	0.77237	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0936	14.2625	4.85937	1.81504	0.571477	lidar	0.344471	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0219	14.4922	4.85635	1.84444	0.566181	radar	1.35482	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9131	14.7456	4.902	1.88823	0.583126	lidar	1.0683	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8477	14.9647	4.88057	1.89867	0.534545	radar	3.42174	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.82	15.182	4.83843	1.90466	0.51139	lidar	2.28533	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6843	15.3905	4.82342	1.9989	0.687169	radar	7.44566	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6552	15.5776	4.74047	2.00646	0.658092	lidar	3.87027	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5635	15.7836	4.72411	2.02805	0.630208	radar	1.46024	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4591	15.996	4.72561	2.05807	0.628341	lidar	0.0232997	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3596	16.2055	4.72085	2.06495	0.561426	radar	1.97024	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2508	16.3826	4.67656	2.09473	0.565417	lidar	0.691145	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.133	16.5793	4.66977	2.12431	0.570282	radar	0.276376	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0033	16.7892	4.69106	2.15228	0.568765	lidar	0.138199	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
